Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Team_PTS,Team_AST,Tean_TRB,Team_TOV,Team_STL
197,Talen Horton-Tucker,PG,23,UTA,22,8,484,79,203,0.389,28,85,0.329,51,118,0.432,0.458,25,30,0.833,10,51,61,95,20,10,41,47,211,hortota01,2441,577,1029,389,145
236,Walker Kessler,C,22,UTA,15,9,377,60,109,0.55,2,11,0.182,58,98,0.592,0.56,11,19,0.579,49,74,123,12,6,36,19,34,133,kesslwa01,2441,577,1029,389,145
274,Lauri Markkanen,PF,26,UTA,15,15,512,122,252,0.484,49,128,0.383,73,124,0.589,0.581,63,75,0.84,36,94,130,16,17,13,20,34,356,markkla01,2441,577,1029,389,145
336,Kelly Olynyk,C,32,UTA,20,1,418,54,91,0.593,17,35,0.486,37,56,0.661,0.687,33,37,0.892,36,73,109,73,17,4,37,58,158,olynyke01,2441,577,1029,389,145
386,Luka Šamani?,PF,24,UTA,10,0,62,10,29,0.345,3,13,0.231,7,16,0.438,0.397,1,1,1,3,14,17,2,1,2,4,5,24,samanlu01,2441,577,1029,389,145
396,Brice Sensabaugh,SF,20,UTA,1,0,2,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0,sensabr01,2441,577,1029,389,145
397,Collin Sexton,SG,25,UTA,22,0,450,90,204,0.441,24,73,0.329,66,131,0.504,0.5,67,76,0.882,18,40,58,72,10,4,44,37,271,sextoco01,2441,577,1029,389,145
492,Omer Yurtseven,C,25,UTA,15,6,191,32,58,0.552,3,13,0.231,29,45,0.644,0.578,6,8,0.75,24,51,75,12,3,7,14,25,73,yurtsom01,2441,577,1029,389,145
15,Deni Avdija,SF,23,WAS,21,21,564,102,194,0.526,21,60,0.35,81,134,0.604,0.58,31,38,0.816,25,90,115,82,18,8,29,47,256,avdijde01,2442,585,815,286,165
20,Patrick Baldwin Jr.,SF,21,WAS,4,0,15,0,5,0,0,1,0,0,4,0,0,0,0,,2,3,5,1,0,1,0,1,0,baldwpa01,2442,585,815,286,165
37,Jules Bernard,SG,24,WAS,1,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,bernaju01,2442,585,815,286,165
73,Jared Butler,SG,23,WAS,9,0,63,8,22,0.364,3,12,0.25,5,10,0.5,0.432,6,7,0.857,0,7,7,13,4,1,7,11,25,butleja02,2442,585,815,286,165
95,Bilal Coulibaly,SF,19,WAS,20,1,527,66,124,0.532,22,53,0.415,44,71,0.62,0.621,19,29,0.655,12,67,79,34,22,13,30,37,173,coulibi01,2442,585,815,286,165
104,Johnny Davis,SG,21,WAS,14,0,128,19,40,0.475,1,3,0.333,18,37,0.486,0.488,4,5,0.8,8,11,19,5,7,1,5,10,43,davisjo06,2442,585,815,286,165
